,principal component 1,principal component 2,name
0,-0.5855110668062613,-0.3065929420855928,Albert Park Grand Prix Circuit
1,-0.6624250523914436,-0.36618871733172154,Albert Park Grand Prix Circuit
2,-0.774077732071984,-0.34222922688131663,Albert Park Grand Prix Circuit
3,-0.891781085507437,-0.3037163495981535,Albert Park Grand Prix Circuit
4,-0.8919929978214005,-0.5477998345451235,Albert Park Grand Prix Circuit
5,-1.1011488232340727,-0.2893208418494194,Albert Park Grand Prix Circuit
6,-1.1102410776261402,-0.5120448784597535,Albert Park Grand Prix Circuit
7,-1.2853830621163982,-0.8245640722583661,Albert Park Grand Prix Circuit
8,-1.380539377529818,-0.840282472277373,Albert Park Grand Prix Circuit
9,-1.486472514854971,-0.8300799146539538,Albert Park Grand Prix Circuit
10,-1.5980950916810104,-0.8061928291131643,Albert Park Grand Prix Circuit
11,-1.600052969556093,-1.0460768293024232,Albert Park Grand Prix Circuit
12,-0.5619092365442081,-0.11876807191003298,Albert Park Grand Prix Circuit
13,-0.4813227027097789,-0.06800569563702064,Albert Park Grand Prix Circuit
14,-0.3470627792981998,-0.14634127320882725,Albert Park Grand Prix Circuit
15,-0.17993053877038534,-0.3037430120809939,Albert Park Grand Prix Circuit
16,0.41884653246228154,-1.49935874993289,Albert Park Grand Prix Circuit
17,-0.02778832745214075,-0.1804967866502552,Albert Park Grand Prix Circuit
18,-0.010417788072010116,0.022315899815756993,Albert Park Grand Prix Circuit
19,0.0322692519443418,0.16423605729495377,Albert Park Grand Prix Circuit
20,0.09377057602447332,0.2609031462643292,Albert Park Grand Prix Circuit
21,0.1656874877623133,0.332518136506667,Albert Park Grand Prix Circuit
22,-0.27687357471819696,-0.9343307789964197,Sepang International Circuit
23,-0.35213190330576405,-0.9979088242714131,Sepang International Circuit
24,-0.4656810628199343,-0.9693878245152191,Sepang International Circuit
25,-0.5942214438761246,-0.9048091797703981,Sepang International Circuit
26,-0.6489195228387934,-1.0178397783129247,Sepang International Circuit
27,-0.8019335246051481,-0.8943959420505275,Sepang International Circuit
28,-0.774751839322249,-1.2043678947477974,Sepang International Circuit
29,-0.9206013617171163,-1.0981564269739403,Sepang International Circuit
30,0.24128805215798804,-1.9360461688974329,Sepang International Circuit
31,-0.10158226828787817,-0.8667639290601657,Sepang International Circuit
32,0.03135312952561065,-0.94191369060888,Sepang International Circuit
33,0.5287136839408816,-1.8935972879654355,Sepang International Circuit
34,0.9147538824075819,-2.5775275295630773,Sepang International Circuit
35,0.718183434841664,-1.860133150458182,Sepang International Circuit
36,0.29924320106912466,-0.6078837040220034,Sepang International Circuit
37,0.30806452977067356,-0.38450802322512795,Sepang International Circuit
38,0.3284790110601322,-0.6711652054108851,Shanghai International Circuit
39,0.2397346036556482,-0.7023058511780387,Shanghai International Circuit
40,0.13551732903711214,-0.6962303734027155,Shanghai International Circuit
41,0.29762000819818596,-1.3307211309976172,Shanghai International Circuit
42,-0.10416398317308506,-0.6089231216709565,Shanghai International Circuit
43,-0.1985376243694519,-0.6265240493399717,Shanghai International Circuit
44,0.3718584167300311,-0.5309103608528494,Shanghai International Circuit
45,0.43853743178451504,-0.4466969163373777,Shanghai International Circuit
46,0.5734596179951393,-0.5266254019207305,Shanghai International Circuit
47,0.646610746767563,-0.4579790129726369,Shanghai International Circuit
48,1.3222103026894534,-1.838372080163835,Shanghai International Circuit
49,0.8703375460916748,-0.5069116626080659,Shanghai International Circuit
50,0.9512251084711248,-0.45687333543121117,Shanghai International Circuit
51,0.931448725395729,-0.16471299049940658,Shanghai International Circuit
52,1.0062254083112632,-0.09997646667056158,Shanghai International Circuit
53,1.1121585456364163,-0.11017902429398067,Shanghai International Circuit
54,-0.2912096085825942,-0.7852363406402462,Bahrain International Circuit
55,-0.39362071193100734,-0.7835051574418659,Bahrain International Circuit
56,-0.49931302642014397,-0.7738818390953721,Bahrain International Circuit
57,-0.6283952588573711,-0.7079999059774682,Bahrain International Circuit
58,-0.7019678275928233,-0.7756326261909422,Bahrain International Circuit
59,-0.8519414410544711,-0.6595016857997322,Bahrain International Circuit
60,0.42334304106494547,-2.25932136087418,Bahrain International Circuit
61,-0.044603447504476826,-0.6446064022693394,Bahrain International Circuit
62,0.044953736971562464,-0.61542068906181,Bahrain International Circuit
63,0.1630183246610405,-0.6548024252603626,Bahrain International Circuit
64,0.236861819087011,-0.5878213492334299,Bahrain International Circuit
65,0.23653188001993788,-0.34243457591337706,Bahrain International Circuit
66,0.3070640604506835,-0.26748895982871695,Bahrain International Circuit
67,0.37497729253975076,-0.18624411660748838,Bahrain International Circuit
68,0.46453447701579004,-0.15705840339995913,Bahrain International Circuit
69,-0.6413128815628238,0.1714624595696057,Circuit de Barcelona-Catalunya
70,-0.6949272577634189,0.055825284280913254,Circuit de Barcelona-Catalunya
71,-0.7990542238184494,0.061683547327390335,Circuit de Barcelona-Catalunya
72,-1.0952675044510412,0.5295575386317403,Circuit de Barcelona-Catalunya
73,-1.1287731738442688,0.36555388371975006,Circuit de Barcelona-Catalunya
74,-1.2686623310477307,0.4574291793896952,Circuit de Barcelona-Catalunya
75,-1.2785071568023496,0.23651526551975435,Circuit de Barcelona-Catalunya
76,-1.8697042703627476,0.19093336957709078,Circuit de Barcelona-Catalunya
77,-1.8378566426320309,-0.13026134411061485,Circuit de Barcelona-Catalunya
78,-1.906040800411617,-0.21085454314530083,Circuit de Barcelona-Catalunya
79,-1.9846405458489111,-0.26639564345295047,Circuit de Barcelona-Catalunya
80,-0.5650009530676852,0.23250633300804907,Circuit de Barcelona-Catalunya
